iter	RMSE
0	84.36966384
1	76.13012154
2	68.67548688
3	62.03810332
4	56.05887514
5	50.74596082
6	45.88284222
7	41.56537529
8	37.66380953
9	34.15880241
10	30.98933686
11	28.16120717
12	25.65151816
13	23.39885549
14	21.38437553
15	19.58498747
16	17.99741638
17	16.59039175
18	15.35998303
19	14.27146575
20	13.29519336
21	12.46817399
22	11.74543148
23	11.10521926
24	10.56373162
25	10.10938368
26	9.711560662
27	9.341753051
28	9.052067602
29	8.753259547
30	8.515119714
31	8.351870336
32	8.182900373
33	8.060505147
34	7.91575702
35	7.810989458
36	7.707418694
37	7.617478807
38	7.524233773
39	7.445426701
40	7.372508128
41	7.301186092
42	7.244627866
43	7.170909122
44	7.13683662
45	7.08963675
46	7.049680143
47	7.00859352
48	6.97077743
49	6.929131191
50	6.897496159
51	6.852939604
52	6.821988038
53	6.798975291
54	6.773136697
55	6.746970027
56	6.717115252
57	6.700912108
58	6.686342389
59	6.68003733
60	6.657452945
61	6.633793449
62	6.616053528
63	6.602109464
64	6.590274721
65	6.574600991
66	6.563029084
67	6.543978401
68	6.53935544
69	6.530032313
70	6.524363045
71	6.513781742
72	6.501518776
73	6.47324185
74	6.466946644
75	6.455380789
76	6.446739778
77	6.433886413
78	6.425371043
79	6.420624899
80	6.412500169
81	6.403040863
82	6.37810698
83	6.364902136
84	6.349342132
85	6.329553015
86	6.318562816
87	6.310448617
88	6.301538909
89	6.290832852
90	6.27783146
91	6.251291252
92	6.238347296
93	6.230303608
94	6.224302872
95	6.217717492
96	6.196578969
97	6.166744566
98	6.141917886
99	6.121681491
100	6.105580216
101	6.092432398
102	6.077691465
103	6.058006666
104	6.048477257
105	6.035224059
106	6.024306561
107	6.003757067
108	5.986605942
109	5.974596218
110	5.961927842
111	5.936651298
112	5.915928738
113	5.910329577
114	5.896378458
115	5.889241302
116	5.876276176
117	5.869428318
118	5.859309367
119	5.842722705
120	5.827196336
121	5.816427763
122	5.80634279
123	5.795906556
124	5.781779468
125	5.779657689
126	5.772509814
127	5.767323202
128	5.755461334
129	5.738224405
130	5.732539621
131	5.720775933
132	5.697347399
133	5.692679524
134	5.684382891
135	5.66645735
136	5.661405662
137	5.647208479
138	5.635173554
139	5.619244031
140	5.605635742
141	5.596724569
142	5.58809155
143	5.584436456
144	5.577327008
145	5.569921349
146	5.563455945
147	5.557564943
148	5.547990696
149	5.543838607
150	5.534421055
151	5.526220475
152	5.514155693
153	5.50720849
154	5.501802184
155	5.495540225
156	5.490294844
157	5.47704696
158	5.473675692
159	5.468997355
160	5.463874332
161	5.45747043
162	5.453412536
163	5.439896161
164	5.430937348
165	5.414836105
166	5.389370804
167	5.382996604
168	5.366853152
169	5.363946109
170	5.347253401
171	5.342866248
172	5.340048152
