iter	Passed	Remaining
0	559	559105
1	948	473358
2	1348	448017
3	1730	430827
4	2121	422232
5	2506	415233
6	2883	408982
7	3270	405533
8	3646	401485
9	4025	398548
10	4397	395384
11	4775	393220
12	5146	390722
13	5512	388202
14	5887	386612
15	6253	384568
16	6629	383357
17	7018	382918
18	7406	382408
19	7789	381707
20	8172	380976
21	8541	379709
22	8904	378260
23	9278	377315
24	9651	376420
25	10027	375647
26	10390	374454
27	10752	373281
28	11121	372373
29	11499	371817
30	11870	371050
31	12256	370760
32	12629	370095
33	13008	369584
34	13388	369142
35	13760	368482
36	14139	368006
37	14512	367398
38	14888	366877
39	15268	366438
40	15650	366067
41	16037	365799
42	16407	365160
43	16774	364467
44	17149	363953
45	17516	363277
46	17882	362586
47	18262	362213
48	18640	361768
49	19018	361346
50	19402	361034
51	19779	360593
52	20149	360036
53	20523	359549
54	20899	359086
55	21279	358717
56	21654	358246
57	22052	358165
58	22451	358078
59	22828	357646
60	23199	357113
61	23576	356682
62	23949	356195
63	24312	355572
64	24687	355114
65	25061	354652
66	25431	354143
67	25806	353702
68	26177	353211
69	26556	352820
70	26921	352253
71	27294	351789
72	27675	351445
73	28050	351010
74	28438	350735
75	28822	350416
76	29212	350173
77	29596	349840
78	29975	349462
79	30359	349134
80	30741	348785
81	31122	348414
82	31495	347969
83	31873	347574
84	32247	347134
85	32625	346743
86	33008	346399
87	33384	345984
88	33776	345734
89	34155	345353
90	34540	345024
91	34924	344689
92	35294	344212
93	35686	343959
94	36068	343602
95	36450	343243
96	36840	342957
97	37222	342601
98	37599	342194
99	37977	341798
100	38350	341356
101	38721	340905
102	39105	340561
103	39483	340168
104	39858	339746
105	40249	339463
106	40628	339074
107	41007	338694
108	41376	338225
109	41753	337827
110	42139	337495
111	42517	337103
112	42889	336664
113	43275	336333
114	43660	335996
115	44038	335604
116	44425	335283
117	44800	334865
118	45197	334610
119	45602	334419
120	45994	334124
121	46378	333771
122	46777	333530
123	47164	333196
124	47554	332880
125	47932	332482
126	48305	332050
127	48682	331647
128	49046	331158
129	49411	330675
130	49779	330214
131	50147	329755
132	50527	329381
133	50900	328953
134	51277	328554
135	51662	328209
136	52046	327851
137	52421	327446
138	52799	327051
139	53171	326623
140	53546	326218
141	53923	325821
142	54297	325406
143	54673	325001
144	55050	324610
145	55429	324224
146	55821	323917
147	56195	323505
148	56576	323132
149	56947	322705
150	57319	322281
151	57697	321888
152	58070	321475
153	58432	321000
154	58804	320579
155	59174	320146
156	59539	319691
157	59914	319292
158	60292	318904
159	60676	318551
160	61041	318097
161	61408	317655
162	61773	317204
163	62142	316775
164	62506	316323
165	62890	315968
166	63272	315605
167	63650	315223
168	64030	314848
169	64413	314489
170	64793	314113
171	65176	313756
172	65559	313396
173	65934	312999
174	66314	312625
175	66689	312227
176	67070	311859
177	67446	311468
178	67822	311076
179	68199	310688
180	68580	310315
181	68956	309925
182	69337	309557
183	69720	309193
184	70104	308839
185	70494	308507
186	70875	308137
187	71252	307751
188	71629	307360
189	72035	307097
190	72423	306755
191	72794	306344
192	73178	305984
193	73563	305630
194	73943	305253
195	74315	304846
196	74698	304481
197	75090	304152
198	75468	303770
199	75843	303372
200	76230	303024
201	76618	302682
202	76998	302302
203	77384	301950
204	77771	301602
205	78148	301211
206	78545	300901
207	78924	300518
208	79298	300119
209	79705	299845
210	80089	299481
211	80467	299097
212	80861	298769
213	81245	298406
214	81621	298012
215	82012	297673
216	82392	297298
217	82782	296953
218	83160	296566
219	83532	296162
220	83921	295814
221	84299	295427
222	84673	295028
223	85064	294686
224	85447	294318
225	85847	294008
226	86232	293647
227	86623	293303
228	87020	292983
229	87417	292658
230	87806	292308
231	88219	292036
232	88610	291691
233	89008	291369
234	89384	290976
235	89773	290623
236	90156	290250
237	90531	289853
238	90907	289459
239	91284	289066
240	91662	288679
241	92039	288288
242	92426	287929
243	92798	287523
244	93179	287144
245	93557	286758
246	93940	286385
247	94325	286020
248	94719	285679
249	95103	285310
250	95502	284985
251	95878	284593
252	96256	284205
253	96636	283823
254	97019	283448
255	97411	283101
256	97796	282734
257	98175	282350
258	98556	281970
259	98936	281587
260	99317	281209
261	99706	280853
262	100084	280463
263	100465	280085
264	100849	279714
265	101231	279338
266	101602	278931
267	101986	278560
268	102357	278154
269	102758	277828
270	103125	277411
271	103500	277017
272	103882	276638
273	104256	276242
274	104659	275921
275	105039	275537
276	105406	275121
277	105778	274720
278	106146	274307
