regressor,Train Errors,Validation Errors
sgdr1,65.6792383254068,65.78647687479516
sgdr0.1,62.965011231761544,63.072296606308065
sgdr0.01,71.20296544583532,71.56897106121421
sgdr0.001,74.52013918867989,75.02734325175193
sgdr0.0001,74.90885306932385,75.43312118032715
sgdr1e-05,74.94835408956932,75.47436156428273
sgdr1e-06,74.9523105521708,75.47849229665678
cat1,6.425805406666143,82.05976751147892
cat0.1,13.302981907602073,45.14123732657103
cat0.01,35.01555402136023,47.14036751539336
cat0.001,1287.208472073426,1294.9102885232041
cat0.0001,7233.7485121032105,7236.518483816776
cat1e-05,8618.718091468001,8619.028039354245
cat1e-06,8771.131397358236,8771.15581099027
xgb1,3.264438465184887,75.85214393231111
xgb0.1,21.622679623183547,44.763212322878154
xgb0.01,1208.421079397365,1215.0555883797922
xgb0.001,7129.025973127921,7130.236257911199
xgb0.0001,8524.094918774592,8524.240702724683
xgb1e-05,8677.837517796952,8677.845229536355
xgb1e-06,8693.36366303479,8693.357485524532
